contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	contamination	kmer_freq	lifestyle
V-CB1_NODE_1934_length_13477_cov_4.144776	13477	No	NA	34	4	0	Low-quality	Genome-fragment	12.17	0	1	temperate
V-CC4_NODE_2026_length_12969_cov_4.489296	12969	No	NA	31	4	0	Low-quality	Genome-fragment	8.06	0	1	virulent
V-PA2_NODE_2442_length_12589_cov_4.565937	12589	No	NA	29	5	0	Low-quality	Genome-fragment	28.01	0	1	temperate
V-PB4_NODE_2132_length_10140_cov_3.084368	10140	No	NA	21	2	0	Low-quality	Genome-fragment	18.6	0	1	-
V-PC1_NODE_2063_length_24619_cov_6.339051	24619	No	NA	32	6	0	Medium-quality	Genome-fragment	52.1	0	1	virulent
V-CB4_NODE_3596_length_11381_cov_6.889154	11381	No	NA	17	13	0	Low-quality	Genome-fragment	24.89	0	1	virulent
V-PA2_NODE_2949_length_10802_cov_3.369138	10802	No	NA	13	3	0	Low-quality	Genome-fragment	25.67	0	1	virulent
V-PC2_NODE_2743_length_11920_cov_25.273326	11920	No	NA	17	3	0	Low-quality	Genome-fragment	27.29	0	1	virulent
V-PC4_NODE_196_length_76053_cov_8.060374	76053	No	NA	114	13	0	Medium-quality	Genome-fragment	89.26	0	1	virulent
V-PC1_NODE_3470_length_16629_cov_12.289512	16629	No	NA	25	3	1	Low-quality	Genome-fragment	36.15	0	1	virulent
V-PC3_NODE_2011_length_17892_cov_18.634858	17892	No	NA	21	2	0	Low-quality	Genome-fragment	39.26	0	1	virulent
V-PB1_NODE_2885_length_10287_cov_5.271401	10287	No	NA	18	1	0	Low-quality	Genome-fragment	14.83	0	1	-
V-CB3_NODE_154_length_48854_cov_175.124403	48854	No	NA	60	6	1	Medium-quality	Genome-fragment	87.53	0	1	virulent
V-PC1_NODE_3794_length_15489_cov_35.298663	15489	No	NA	11	3	0	Low-quality	Genome-fragment	20.42	0	1	-
V-PA3_NODE_1690_length_15935_cov_4.745996	15935	No	NA	30	8	0	Low-quality	Genome-fragment	36.53	0	1	virulent
V-PB2_NODE_971_length_21554_cov_4.852586	21554	No	NA	25	9	0	Low-quality	Genome-fragment	49.05	0	1	temperate
V-PC2_NODE_2621_length_12335_cov_8.860255	12335	No	NA	17	5	0	Low-quality	Genome-fragment	35.99	0	1	temperate
V-PA1_NODE_354_length_42504_cov_17.205742	42504	No	NA	65	21	1	Medium-quality	Genome-fragment	57.46	0	1	virulent
V-PA2_NODE_2077_length_14200_cov_4.533244	14200	No	NA	24	3	0	Low-quality	Genome-fragment	30.23	0	1	virulent
V-CC4_NODE_224_length_47676_cov_27.467237	47676	No	NA	66	13	0	High-quality	High-quality	100	0	1	virulent
V-PB3_NODE_824_length_32527_cov_5.265455	32527	No	NA	36	15	0	Medium-quality	Genome-fragment	59.19	0	1	temperate
V-PA3_NODE_622_length_40215_cov_17.991828	40215	No	NA	62	8	0	Low-quality	Genome-fragment	47.91	0	1	temperate
V-PC1_NODE_5591_length_11508_cov_89.322544	11508	No	NA	14	5	0	Low-quality	Genome-fragment	25.39	0	1	virulent
V-CB2_NODE_1341_length_16286_cov_13.883275	16286	No	NA	32	2	1	Low-quality	Genome-fragment	25.84	0	1	virulent
V-PC4_NODE_648_length_44626_cov_10.872702	44626	No	NA	67	7	1	Low-quality	Genome-fragment	46.83	0	1	temperate
V-PC1_NODE_976_length_40795_cov_13.352473	40795	No	NA	59	21	0	High-quality	High-quality	100	0	1	virulent
V-PC3_NODE_2074_length_17375_cov_9.032663	17375	No	NA	23	10	0	Medium-quality	Genome-fragment	54.34	0	1	temperate
V-PC1_NODE_4341_length_13968_cov_8.424951	13968	No	NA	16	8	1	Low-quality	Genome-fragment	19.55	0	1	temperate
V-CB4_NODE_703_length_43828_cov_16.639414	43828	No	NA	73	8	3	Complete	High-quality	100	0	1	virulent
V-PA3_NODE_2767_length_10209_cov_17.445026	10209	No	NA	18	3	0	Low-quality	Genome-fragment	12.6	0	1	virulent
V-CC2_NODE_490_length_39933_cov_34.738509	39933	No	NA	53	12	1	High-quality	High-quality	100	0	1	temperate
V-CA1_NODE_138_length_59521_cov_7.291047	59521	No	NA	78	5	0	High-quality	High-quality	100	0	1	virulent
V-PB2_NODE_2273_length_10246_cov_4.744813	10246	No	NA	25	1	0	Low-quality	Genome-fragment	6.16	0	1	-
V-CC3_NODE_1221_length_20393_cov_13.387232	20393	No	NA	20	6	0	Low-quality	Genome-fragment	39.72	0	1	virulent
V-PC4_NODE_4088_length_10898_cov_4.777285	10898	No	NA	17	1	0	Low-quality	Genome-fragment	7.6	0	1	virulent
V-CC1_NODE_1373_length_18357_cov_6.360558	18357	No	NA	34	1	0	Low-quality	Genome-fragment	9.96	0	1	virulent
V-PC4_NODE_635_length_44946_cov_31.945575	44946	No	NA	65	14	0	Complete	High-quality	100	0	1	virulent
V-CC1_NODE_60_length_65612_cov_9.012222	65612	No	NA	109	10	4	Low-quality	Genome-fragment	28.15	0	1	virulent
V-PB2_NODE_1576_length_14430_cov_55.094057	14430	No	NA	9	4	0	Low-quality	Genome-fragment	16.91	0	1	temperate
V-PB2_NODE_25_length_98724_cov_10.935923	98724	No	NA	219	11	10	Medium-quality	Genome-fragment	50.56	0	1	virulent
V-CB2_NODE_1936_length_12177_cov_5.093802	12177	No	NA	17	4	0	Low-quality	Genome-fragment	9.28	0	1	virulent
V-PC1_NODE_329_length_64188_cov_32.712421	64188	No	NA	88	11	3	Medium-quality	Genome-fragment	88.57	0	1	virulent
V-CB3_NODE_1410_length_12496_cov_8.882841	12496	No	NA	15	5	1	Low-quality	Genome-fragment	35.46	0	1	temperate
V-PC2_NODE_283_length_44096_cov_6.412595	44096	No	NA	66	5	0	High-quality	High-quality	93.21	0	1	temperate
V-CB4_NODE_3720_length_10997_cov_5.122619	10997	No	NA	12	3	1	Low-quality	Genome-fragment	19.9	0	1	-
V-PC1_NODE_5230_length_12141_cov_10.304957	12141	No	NA	17	2	1	Low-quality	Genome-fragment	11.22	0	1	temperate
V-CA4_NODE_2555_length_13375_cov_5.698977	13375	No	NA	34	2	1	Low-quality	Genome-fragment	8.56	0	1	virulent
V-PC1_NODE_2697_length_19911_cov_8.580266	19911	No	NA	42	1	0	Low-quality	Genome-fragment	9.27	0	1.15	temperate
V-CC1_NODE_702_length_28622_cov_9.577684	28622	No	NA	32	8	0	Medium-quality	Genome-fragment	64.55	0	1	virulent
V-PA3_NODE_2656_length_10599_cov_8.573904	10599	No	NA	17	1	0	Low-quality	Genome-fragment	25.22	0	1	-
V-PC4_NODE_3207_length_13641_cov_5.541728	13641	No	NA	17	6	1	Low-quality	Genome-fragment	17.76	0	1	virulent
V-PC1_NODE_2380_length_22100_cov_20.031558	22100	No	NA	32	2	0	Low-quality	Genome-fragment	8.48	0	1	virulent
V-PC2_NODE_1041_length_23710_cov_16.632421	23710	No	NA	27	1	1	Low-quality	Genome-fragment	7.73	0	1	-
V-CB4_NODE_1827_length_21070_cov_15.587100	21070	No	NA	22	10	0	Medium-quality	Genome-fragment	52.87	0	1	temperate
V-PC4_NODE_3764_length_11782_cov_5.462452	11782	No	NA	19	1	0	Low-quality	Genome-fragment	25.56	0	1	temperate
V-PA1_NODE_653_length_30934_cov_6.269825	30934	No	NA	57	1	0	Low-quality	Genome-fragment	28.32	0	1	virulent
V-PB1_NODE_1358_length_17299_cov_106.494658	17299	No	NA	24	1	1	Low-quality	Genome-fragment	39.05	0	1	temperate
V-PC3_NODE_3265_length_11832_cov_40.745640	11832	No	NA	21	6	0	Low-quality	Genome-fragment	43.13	0	1	virulent
V-PB4_NODE_1995_length_10824_cov_20.265656	10824	No	NA	14	1	1	Low-quality	Genome-fragment	16.19	0	1	temperate
V-PC1_NODE_2173_length_23661_cov_18.495717	23661	No	NA	33	10	0	Low-quality	Genome-fragment	32.14	0	1	virulent
V-PC1_NODE_105_length_106686_cov_22.979786	106686	No	NA	121	13	8	Medium-quality	Genome-fragment	89.53	0	1	virulent
V-PA1_NODE_2136_length_12701_cov_5.288340	12701	No	NA	19	2	0	Low-quality	Genome-fragment	17.68	0	1	-
V-CC1_NODE_1608_length_16617_cov_3.293168	16617	No	NA	30	3	0	Low-quality	Genome-fragment	30.86	0	1	temperate
V-CA2_NODE_2887_length_10253_cov_6.939269	10253	No	NA	19	2	0	Low-quality	Genome-fragment	17.51	0	1	-
V-PB4_NODE_882_length_22979_cov_39.480307	22979	No	NA	31	5	1	Medium-quality	Genome-fragment	52	0	1	-
V-CA4_NODE_1395_length_21622_cov_6.208680	21622	No	NA	29	4	1	Low-quality	Genome-fragment	37.99	0	1	virulent
V-PA4_NODE_1269_length_14884_cov_5.690484	14884	No	NA	34	2	0	Low-quality	Genome-fragment	7.69	0	1	virulent
V-PC1_NODE_3943_length_15019_cov_8.687659	15019	No	NA	29	3	1	Low-quality	Genome-fragment	26.13	0	1	-
V-PB1_NODE_1817_length_14297_cov_64.448453	14297	No	NA	30	1	0	Low-quality	Genome-fragment	34.02	0	1	virulent
V-CC2_NODE_2907_length_11247_cov_3.705013	11247	No	NA	16	1	0	Low-quality	Genome-fragment	23.91	0	1	temperate
V-PC1_NODE_5782_length_11206_cov_7.200108	11206	No	NA	22	5	1	Low-quality	Genome-fragment	23.93	0	1	virulent
V-PB3_NODE_332_length_48975_cov_35.765205	48975	No	NA	74	15	3	Medium-quality	Genome-fragment	78.89	0	1	virulent
V-PB1_NODE_527_length_35966_cov_31.389061	35966	No	NA	45	9	3	Medium-quality	Genome-fragment	60.05	0	1	temperate
V-CA1_NODE_1225_length_20079_cov_18.083842	20079	No	NA	31	4	0	Low-quality	Genome-fragment	19.73	0	1	virulent
V-PA2_NODE_678_length_36021_cov_332.723820	36021	No	NA	59	12	1	Medium-quality	Genome-fragment	86.35	0	1	temperate
V-PC1_NODE_1043_length_39425_cov_17.179780	39425	No	NA	59	15	0	Medium-quality	Genome-fragment	80.97	0	1	temperate
V-PC3_NODE_830_length_37411_cov_161.137006	37411	No	NA	53	9	0	Complete	High-quality	100	0	1	temperate
V-PB2_NODE_812_length_25698_cov_5.047422	25698	No	NA	44	6	0	Medium-quality	Genome-fragment	53.24	0	1	virulent
V-CA4_NODE_2435_length_13834_cov_5.655666	13834	No	NA	23	1	1	Low-quality	Genome-fragment	15.32	0	1	temperate
V-CA1_NODE_197_length_50721_cov_13.297725	50721	No	NA	84	8	0	Medium-quality	Genome-fragment	86.47	0	1	temperate
V-PA2_NODE_2259_length_13336_cov_17.724866	13336	No	NA	38	1	1	Low-quality	Genome-fragment	12.18	0	1	virulent
V-CC3_NODE_1247_length_20106_cov_6.944481	20106	No	NA	30	4	0	Low-quality	Genome-fragment	46.67	0	1	virulent
V-PB3_NODE_783_length_34213_cov_6.723137	34213	No	NA	51	13	1	Medium-quality	Genome-fragment	78.51	0	1	temperate
V-PA3_NODE_2056_length_13423_cov_15.111194	13423	No	NA	24	2	0	Low-quality	Genome-fragment	10.34	0	1	temperate
V-PB2_NODE_898_length_23233_cov_8.551088	23233	No	NA	55	3	0	Low-quality	Genome-fragment	29.29	0	1	virulent
V-PC1_NODE_1919_length_25923_cov_12.315523	25923	No	NA	32	5	0	Low-quality	Genome-fragment	38.8	0	1	temperate
V-CB1_NODE_1589_length_15192_cov_7.072974	15192	No	NA	21	1	0	Low-quality	Genome-fragment	32.18	0	1	virulent
V-PB4_NODE_61_length_75866_cov_14.821979	75866	No	NA	96	15	1	Complete	High-quality	100	0	1	virulent
V-PC1_NODE_4516_length_13582_cov_9.665753	13582	No	NA	19	1	4	Low-quality	Genome-fragment	3.31	0	1	virulent
V-PB2_NODE_386_length_43194_cov_27.566436	43194	No	NA	55	9	2	Medium-quality	Genome-fragment	51.8	0	1	temperate
V-PC1_NODE_290_length_67991_cov_83.309126	67991	No	NA	86	14	2	High-quality	High-quality	92.33	0	1	virulent
V-CB4_NODE_416_length_52678_cov_10.058535	52678	No	NA	84	12	0	Complete	High-quality	100	0	1	virulent
V-PC1_NODE_781_length_44745_cov_24.296767	44745	No	NA	67	7	1	High-quality	High-quality	100	0	1	temperate
V-CB1_NODE_522_length_33259_cov_18.610240	33259	No	NA	45	4	0	Medium-quality	Genome-fragment	62.77	0	1	virulent
V-PC1_NODE_5202_length_12195_cov_18.413517	12195	No	NA	31	2	0	Low-quality	Genome-fragment	8.36	0	1	virulent
V-PC4_NODE_1821_length_23366_cov_7.069604	23366	No	NA	26	3	1	Low-quality	Genome-fragment	34.34	0	1	virulent
V-PC3_NODE_786_length_38233_cov_14.568063	38233	No	NA	65	15	0	Medium-quality	Genome-fragment	61.21	0	1	virulent
V-PC1_NODE_428_length_57853_cov_74.776914	57853	No	NA	84	7	2	Medium-quality	Genome-fragment	69.28	0	1	temperate
V-PB3_NODE_1425_length_18538_cov_3.521207	18538	No	NA	25	9	1	Low-quality	Genome-fragment	35.14	0	1	temperate
V-PC4_NODE_730_length_42871_cov_9.768542	42871	No	NA	67	3	1	Complete	High-quality	100	0	1	temperate
V-PC4_NODE_1979_length_21428_cov_5.468924	21428	No	NA	46	2	0	Low-quality	Genome-fragment	10.67	0	1	virulent
V-PB2_NODE_2061_length_11229_cov_4.082227	11229	No	NA	14	4	0	Low-quality	Genome-fragment	29.04	0	1	virulent
V-CA2_NODE_810_length_27504_cov_7.608379	27504	No	NA	39	6	1	Medium-quality	Genome-fragment	67.3	0	1	temperate
V-PC1_NODE_2469_length_21455_cov_14.041398	21455	No	NA	19	1	0	Low-quality	Genome-fragment	24.78	0	1	virulent
V-PA4_NODE_740_length_25916_cov_6.208522	25916	No	NA	50	8	0	Low-quality	Genome-fragment	26.32	0	1	temperate
V-CC3_NODE_831_length_27605_cov_42.203538	27605	No	NA	32	15	0	Medium-quality	Genome-fragment	64.15	0	1	temperate
V-PB2_NODE_6_length_172962_cov_5.727570	172962	No	NA	239	22	22	Low-quality	Genome-fragment	40.28	0	1	virulent
V-PB1_NODE_907_length_23350_cov_12.401452	23350	No	NA	26	8	1	Low-quality	Genome-fragment	32.68	0	1	virulent
V-CB4_NODE_1581_length_24380_cov_15.639798	24380	No	NA	30	6	0	Low-quality	Genome-fragment	24.74	0	1	temperate
V-CB1_NODE_2544_length_11250_cov_279.284973	11250	No	NA	14	3	0	Low-quality	Genome-fragment	24.08	0	1	-
V-CC1_NODE_1679_length_16112_cov_17.851512	16112	No	NA	23	7	2	Low-quality	Genome-fragment	30.41	0	1	temperate
V-CB4_NODE_1276_length_30602_cov_5.852482	30602	No	NA	43	14	2	Low-quality	Genome-fragment	33.26	0	1	temperate
V-CC4_NODE_1174_length_19138_cov_8.459000	19138	No	NA	28	7	0	Low-quality	Genome-fragment	46.49	0	1	virulent
V-PC3_NODE_1556_length_22948_cov_135.440164	22948	No	NA	30	7	1	Low-quality	Genome-fragment	40.35	0	1	temperate
V-CA1_NODE_1526_length_17182_cov_15.440281	17182	No	NA	41	6	0	Low-quality	Genome-fragment	35.56	0	1	virulent
V-PC3_NODE_1171_length_29685_cov_8.953830	29685	No	NA	42	7	0	Medium-quality	Genome-fragment	64.01	0	1	temperate
V-PB4_NODE_825_length_24320_cov_8.768181	24320	No	NA	29	6	2	Low-quality	Genome-fragment	48.26	0	1	temperate
V-PB2_NODE_251_length_48646_cov_6.321398	48646	No	NA	84	3	0	Low-quality	Genome-fragment	48.48	0	1	temperate
V-CC4_NODE_2727_length_10217_cov_4.167258	10217	No	NA	14	13	0	Low-quality	Genome-fragment	15.36	0	1	virulent
V-PA4_NODE_1556_length_12406_cov_4.650985	12406	No	NA	17	5	0	Low-quality	Genome-fragment	22.4	0	1	virulent
V-PC2_NODE_928_length_26333_cov_6.612317	26333	No	NA	44	7	0	Medium-quality	Genome-fragment	52.25	0	1	virulent
V-PC1_NODE_5117_length_12369_cov_24.860478	12369	No	NA	24	4	0	Low-quality	Genome-fragment	14.41	0	1	virulent
V-PB1_NODE_504_length_37154_cov_13.912291	37154	No	NA	77	9	1	High-quality	High-quality	96.17	0	1	virulent
V-CC1_NODE_91_length_59374_cov_14.796077	59374	No	NA	74	11	4	Medium-quality	Genome-fragment	78.72	0	1	virulent
V-PA3_NODE_1649_length_16245_cov_4.070881	16245	No	NA	31	4	0	Low-quality	Genome-fragment	20.54	0	1	virulent
V-PC4_NODE_1930_length_21877_cov_6.483119	21877	No	NA	33	8	0	Medium-quality	Genome-fragment	56.5	0	1	temperate
V-CB2_NODE_2336_length_10623_cov_10.199981	10623	No	NA	24	3	0	Low-quality	Genome-fragment	11.41	0	1	temperate
V-PC3_NODE_3661_length_10802_cov_5.785455	10802	No	NA	15	4	0	Low-quality	Genome-fragment	29.97	0	1	virulent
V-CC4_NODE_1253_length_18193_cov_10.850905	18193	No	NA	20	5	0	Low-quality	Genome-fragment	23.66	0	1	virulent
V-PC3_NODE_1977_length_18132_cov_6.744891	18132	No	NA	25	1	0	Low-quality	Genome-fragment	31.09	0	1	-
V-PC3_NODE_2612_length_14282_cov_33.630894	14282	No	NA	26	4	0	Low-quality	Genome-fragment	12.84	0	1	virulent
V-PC4_NODE_3768_length_11772_cov_9.752458	11772	No	NA	12	5	0	Low-quality	Genome-fragment	28.18	0	1	temperate
V-PA2_NODE_775_length_32938_cov_4.142996	32938	No	NA	31	3	0	Low-quality	Genome-fragment	45.77	0	1	virulent
V-CC4_NODE_2796_length_10044_cov_4.190428	10044	No	NA	23	4	0	Low-quality	Genome-fragment	17.37	0	1	virulent
V-PA1_NODE_17_length_94757_cov_13.119877	94757	No	NA	169	11	1	Medium-quality	Genome-fragment	74.8	0	1	temperate
V-PC3_NODE_3610_length_10912_cov_25.149054	10912	No	NA	12	1	0	Low-quality	Genome-fragment	15.46	0	1	temperate
V-CB4_NODE_492_length_49191_cov_8.797817	49191	No	NA	71	26	0	High-quality	High-quality	96.24	0	1	temperate
V-CB4_NODE_1229_length_31973_cov_62.756615	31973	No	NA	51	3	0	Low-quality	Genome-fragment	48.32	0	1	virulent
V-CC2_NODE_352_length_43462_cov_10.705105	43462	No	NA	86	1	0	Low-quality	Genome-fragment	31.89	0	1	virulent
V-CB1_NODE_209_length_45931_cov_5.781917	45931	No	NA	77	12	0	Low-quality	Genome-fragment	47.44	0	1	virulent
V-PC1_NODE_4115_length_14528_cov_11.009965	14528	No	NA	24	6	0	High-quality	High-quality	99.16	0	1	temperate
V-PC4_NODE_1721_length_24701_cov_6.162403	24701	No	NA	38	7	0	Low-quality	Genome-fragment	25.9	0	1	virulent
V-CB4_NODE_1771_length_21711_cov_7.284460	21711	No	NA	25	4	0	Low-quality	Genome-fragment	48.04	0	1	virulent
V-CA2_NODE_470_length_41067_cov_14.234252	41067	No	NA	58	8	5	Medium-quality	Genome-fragment	89.94	0	1	temperate
V-PC1_NODE_779_length_44763_cov_19.854496	44763	No	NA	71	31	0	Medium-quality	Genome-fragment	81.14	0	1	virulent
V-PC2_NODE_650_length_34200_cov_69.944466	34200	No	NA	50	6	2	Medium-quality	Genome-fragment	50.29	0	1	virulent
V-CC3_NODE_1843_length_14913_cov_14.065988	14913	No	NA	25	2	0	Low-quality	Genome-fragment	8.09	0	1	temperate
V-PB1_NODE_1976_length_13469_cov_10.270983	13469	No	NA	21	1	0	Low-quality	Genome-fragment	19.5	0	1	-
V-PB1_NODE_2878_length_10305_cov_3.598260	10305	No	NA	13	5	0	Low-quality	Genome-fragment	21.81	0	1	temperate
V-CC4_NODE_1224_length_18523_cov_12.169630	18523	No	NA	25	4	1	Low-quality	Genome-fragment	43.55	0	1	virulent
V-CC1_NODE_2996_length_10978_cov_3.159068	10978	No	NA	13	2	0	Low-quality	Genome-fragment	11.58	0	1	virulent
V-PC4_NODE_244_length_67540_cov_18.843692	67540	No	NA	98	9	2	High-quality	High-quality	100	0	1	virulent
V-CC2_NODE_574_length_37955_cov_4.797930	37955	No	NA	46	6	0	Low-quality	Genome-fragment	49.8	0	1	virulent
V-PC2_NODE_2315_length_13489_cov_42.998956	13489	No	NA	19	5	1	Low-quality	Genome-fragment	23.08	0	1	virulent
V-CC2_NODE_295_length_45734_cov_21.692490	45734	No	NA	68	6	0	High-quality	High-quality	100	0	1	virulent
V-CC4_NODE_1349_length_17203_cov_9.334229	17203	No	NA	26	5	0	Low-quality	Genome-fragment	26.55	0	1	virulent
V-PC1_NODE_2080_length_24507_cov_6.758084	24507	No	NA	35	8	2	Medium-quality	Genome-fragment	61.31	0	1	temperate
V-PC1_NODE_3891_length_15168_cov_6.236234	15168	No	NA	36	2	2	Low-quality	Genome-fragment	25.15	0	1	virulent
V-PA4_NODE_1302_length_14479_cov_31.338772	14479	No	NA	26	4	0	Low-quality	Genome-fragment	20.86	0	1	temperate
V-CC1_NODE_219_length_46748_cov_22.243492	46748	No	NA	73	10	0	High-quality	High-quality	100	0	1	virulent
V-CA4_NODE_2371_length_14123_cov_3.763135	14123	No	NA	33	2	0	Low-quality	Genome-fragment	20.53	0	1	temperate
V-CC1_NODE_2297_length_13160_cov_11.507376	13160	No	NA	25	4	0	Low-quality	Genome-fragment	27.85	0	1	virulent
V-CB2_NODE_454_length_40036_cov_11.605220	40036	No	NA	58	23	1	High-quality	High-quality	91.38	0	1	virulent
V-PC4_NODE_3274_length_13378_cov_7.936997	13378	No	NA	18	3	0	Low-quality	Genome-fragment	15.92	0	1	virulent
V-CA1_NODE_428_length_41654_cov_17.022392	41654	No	NA	66	16	0	Medium-quality	Genome-fragment	72.72	0	1	temperate
V-PB3_NODE_2001_length_13389_cov_5.385066	13389	No	NA	22	1	0	Low-quality	Genome-fragment	26.27	0	1	temperate
V-PC1_NODE_2134_length_24046_cov_35.299971	24046	No	NA	30	11	0	Medium-quality	Genome-fragment	60.12	0	1	virulent
V-PB3_NODE_2496_length_10926_cov_10.624574	10926	No	NA	14	4	0	Low-quality	Genome-fragment	19.32	0	1	virulent
V-CA3_NODE_1374_length_18004_cov_9.461315	18004	No	NA	13	4	0	Low-quality	Genome-fragment	35.94	0	1	-
V-PC1_NODE_576_length_50794_cov_14.068616	50794	No	NA	75	7	0	Complete	High-quality	100	0	1	virulent
V-CC4_NODE_2009_length_13062_cov_15.604082	13062	No	NA	15	3	0	Low-quality	Genome-fragment	19.04	0	1	-
V-PA2_NODE_2632_length_11876_cov_4.587846	11876	No	NA	25	3	0	Low-quality	Genome-fragment	13.93	0	1	virulent
V-CC3_NODE_796_length_28689_cov_17.006361	28689	No	NA	43	8	1	Medium-quality	Genome-fragment	56.7	0	1	temperate
V-PB4_NODE_1038_length_19328_cov_6.683809	19328	No	NA	39	7	1	Low-quality	Genome-fragment	17.82	0	1	temperate
V-PA3_NODE_100_length_71170_cov_15.110151	71170	No	NA	108	11	0	High-quality	High-quality	100	0	1	virulent
V-CC3_NODE_138_length_51545_cov_7.013562	51545	No	NA	85	4	0	Medium-quality	Genome-fragment	51.62	0	1	virulent
V-PA3_NODE_980_length_27575_cov_10.884937	27575	No	NA	64	3	2	Low-quality	Genome-fragment	18.55	0	1	virulent
V-PB2_NODE_126_length_59483_cov_11.096909	59483	No	NA	98	2	1	High-quality	High-quality	92.4	0	1	virulent
V-CC1_NODE_138_length_52533_cov_5.503489	52533	No	NA	145	10	2	Low-quality	Genome-fragment	30.77	0	1	virulent
V-PB2_NODE_391_length_43005_cov_7.310334	43005	No	NA	48	11	1	Medium-quality	Genome-fragment	61.95	0	1	virulent
V-PC1_NODE_2764_length_19540_cov_30.239120	19540	No	NA	25	2	1	Low-quality	Genome-fragment	9.63	0	1	temperate
V-PC1_NODE_4653_length_13294_cov_10.668155	13294	No	NA	17	7	0	Low-quality	Genome-fragment	27.14	0	1	-
V-PC3_NODE_441_length_47100_cov_13.751398	47100	No	NA	73	5	0	Complete	High-quality	100	0	1	virulent
V-PB3_NODE_1067_length_25008_cov_448.109823	25008	No	NA	42	3	0	Low-quality	Genome-fragment	32.06	0	1	virulent
V-CC4_NODE_1677_length_14753_cov_4.325157	14753	No	NA	34	1	0	Low-quality	Genome-fragment	9.26	0	1	temperate
V-CC4_NODE_520_length_36100_cov_8.789829	36100	No	NA	54	13	0	Medium-quality	Genome-fragment	59.89	0	1	virulent
V-PC4_NODE_4137_length_10744_cov_5.667760	10744	No	NA	10	4	0	Low-quality	Genome-fragment	13.17	0	1	temperate
V-PC1_NODE_2452_length_21558_cov_31.955542	21558	No	NA	34	6	0	Medium-quality	Genome-fragment	60.29	0	1	virulent
V-CC1_NODE_1783_length_15498_cov_7.405681	15498	No	NA	17	5	0	Low-quality	Genome-fragment	34.08	0	1	-
V-CA1_NODE_642_length_33060_cov_10.655489	33060	No	NA	47	10	0	Medium-quality	Genome-fragment	89.35	0	1	virulent
V-CA2_NODE_359_length_43998_cov_9.071242	43998	No	NA	65	13	0	Complete	High-quality	100	0	1	virulent
V-CA1_NODE_380_length_42985_cov_7.142677	42985	No	NA	68	13	1	Medium-quality	Genome-fragment	64.38	0	1	temperate
V-CA4_NODE_3163_length_11408_cov_2.912806	11408	No	NA	13	1	0	Low-quality	Genome-fragment	15.29	0	1	-
V-CC2_NODE_742_length_32613_cov_7.329389	32613	No	NA	54	7	0	High-quality	High-quality	90.4	0	1	temperate
V-PC1_NODE_439_length_57585_cov_26.966874	57585	No	NA	78	21	1	Medium-quality	Genome-fragment	83.45	0	1	virulent
V-PC1_NODE_1288_length_34960_cov_26.670957	34960	No	NA	35	5	1	Low-quality	Genome-fragment	40.46	0	1	temperate
V-CA1_NODE_1292_length_19286_cov_4.138581	19286	No	NA	32	1	0	Low-quality	Genome-fragment	26.58	0	1	temperate
V-CC2_NODE_1501_length_17785_cov_53.987294	17785	No	NA	25	4	0	Low-quality	Genome-fragment	28.19	0	1	virulent
V-PB3_NODE_573_length_41630_cov_114.281881	41630	No	NA	67	6	2	Medium-quality	Genome-fragment	57.87	0	1	temperate
V-PB2_NODE_726_length_28670_cov_8.835659	28670	No	NA	43	4	5	Low-quality	Genome-fragment	49.5	0	1	temperate
V-PC4_NODE_261_length_65708_cov_45.052734	65708	No	NA	111	9	0	Low-quality	Genome-fragment	44.38	0	1	virulent
V-PC2_NODE_1219_length_21101_cov_7.681887	21101	No	NA	27	9	0	Low-quality	Genome-fragment	34.27	0	1	virulent
V-CB1_NODE_2001_length_13214_cov_3.336987	13214	No	NA	24	4	1	Low-quality	Genome-fragment	15.84	0	1	virulent
V-CB2_NODE_2164_length_11265_cov_65.943153	11265	No	NA	19	5	0	Low-quality	Genome-fragment	28.01	0	1	virulent
V-PC4_NODE_997_length_38623_cov_25.779069	38623	No	NA	60	11	1	Low-quality	Genome-fragment	45.95	0	1	virulent
V-CC4_NODE_1780_length_14222_cov_8.508872	14222	No	NA	17	1	0	Low-quality	Genome-fragment	34.43	0	1	-
V-CB4_NODE_3632_length_11247_cov_4.198299	11247	No	NA	8	5	0	Low-quality	Genome-fragment	14.76	0	1	-
V-PC1_NODE_2346_length_22279_cov_6.313395	22279	No	NA	26	3	0	Low-quality	Genome-fragment	29.65	0	1	-
V-CC3_NODE_1601_length_16483_cov_7.290077	16483	No	NA	31	2	0	Low-quality	Genome-fragment	13.12	0	1	virulent
V-CB4_NODE_3582_length_11413_cov_8.525847	11413	No	NA	17	1	0	Low-quality	Genome-fragment	10.13	0	1	temperate
V-CB2_NODE_444_length_40360_cov_23.367847	40360	No	NA	71	17	2	Medium-quality	Genome-fragment	67.3	0	1	virulent
V-CC1_NODE_3156_length_10586_cov_6.273861	10586	No	NA	25	4	1	Low-quality	Genome-fragment	13.06	0	1	virulent
V-CA1_NODE_2621_length_11983_cov_75.160339	11983	No	NA	28	2	0	Low-quality	Genome-fragment	4.57	0	1	virulent
V-PC3_NODE_2427_length_15098_cov_7.129286	15098	No	NA	26	2	0	Low-quality	Genome-fragment	15.9	0	1	virulent
